﻿sku,productName,model,brand,category,productType,variant,color,capacityMl,material,straw,countryOfOrigin,supplierCost,images,imageUrls,sourceRow,declaredValue,packagingWeightKg,packageLengthCm,packageWidthCm,packageHeightCm,estimatedFields
ET-12-31-10,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,祈祷之手皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-10-1.jpg;IMG-03-10-2.jpg;IMG-03-10-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-11,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,荣耀骑士皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-11-1.jpg;IMG-03-11-2.jpg;IMG-03-11-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-12,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,加冕皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-12-1.jpg;IMG-03-12-2.jpg;IMG-03-12-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-13,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,骑士钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-13-1.jpg;IMG-03-13-2.jpg;IMG-03-13-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-14,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,自由钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-14-1.jpg;IMG-03-14-2.jpg;IMG-03-14-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-15,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,凯瑟王座钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-15-1.jpg;IMG-03-15-2.jpg;IMG-03-15-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-16,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,祈祷之手钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-16-1.jpg;IMG-03-16-2.jpg;IMG-03-16-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-17,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,Titan-S钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-17-1.jpg;IMG-03-17-2.jpg;IMG-03-17-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-18,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,Titan-B钛银色/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-18-1.jpg;IMG-03-18-2.jpg;IMG-03-18-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
1206-01,CMYD Studio 有手柄  Unspecified,1206,CMYD Studio,Home & Kitchen,有手柄,苹果平平安安（赠苹果勺）,Unspecified,,陶瓷,false,,7.50,IMG-04-01-1.jpg;IMG-04-01-2.jpg,https://img.alicdn.com/imgextra/i4/2217527082059/O1CN01YEoEi11R54W6koAsm_!!2217527082059.jpg;https://img.alicdn.com/imgextra/i3/2217527082059/O1CN01GDEcga1R54WAiw04J_!!2217527082059.jpg,4,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
1206-02,CMYD Studio 有手柄  Unspecified,1206,CMYD Studio,Home & Kitchen,有手柄,香蕉蕉财进宝（赠香蕉勺）,Unspecified,,陶瓷,false,,7.50,IMG-04-02-1.jpg;IMG-04-02-2.jpg,https://img.alicdn.com/imgextra/i4/2217527082059/O1CN01YEoEi11R54W6koAsm_!!2217527082059.jpg;https://img.alicdn.com/imgextra/i3/2217527082059/O1CN01GDEcga1R54WAiw04J_!!2217527082059.jpg,4,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
1206-03,CMYD Studio 有手柄  Unspecified,1206,CMYD Studio,Home & Kitchen,有手柄,对杯,Unspecified,,陶瓷,false,,7.50,IMG-04-03-1.jpg;IMG-04-03-2.jpg,https://img.alicdn.com/imgextra/i4/2217527082059/O1CN01YEoEi11R54W6koAsm_!!2217527082059.jpg;https://img.alicdn.com/imgextra/i3/2217527082059/O1CN01GDEcga1R54WAiw04J_!!2217527082059.jpg,4,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
波波把手冰霸杯-01,"其他家 保温咖啡杯,保温杯,冰霸杯 1100ml White",波波把手冰霸杯,其他家,Home & Kitchen,"保温咖啡杯,保温杯,冰霸杯",白色波点1100ml覆陶316L内胆,White,1100,316L不锈钢+陶瓷覆层内胆,false,中国大陆,10.50,IMG-05-01-1.jpg;IMG-05-01-2.jpg;IMG-05-01-3.jpg,https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01nMP1Ee1Zvl8k3v1xC_!!2207931153257.jpg;https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01coKcxo1Zvl8jmz1bz_!!2207931153257.jpg;https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01YptIwK1Zvl8juyCFs_!!2207931153257.jpg,5,10.50,0.7,9,9,28,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
波波把手冰霸杯-02,"其他家 保温咖啡杯,保温杯,冰霸杯 1100ml Unspecified",波波把手冰霸杯,其他家,Home & Kitchen,"保温咖啡杯,保温杯,冰霸杯",芋泥波波1100ml覆陶316L内胆,Unspecified,1100,316L不锈钢+陶瓷覆层内胆,false,中国大陆,10.50,IMG-05-02-1.jpg;IMG-05-02-2.jpg;IMG-05-02-3.jpg,https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01nMP1Ee1Zvl8k3v1xC_!!2207931153257.jpg;https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01coKcxo1Zvl8jmz1bz_!!2207931153257.jpg;https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01YptIwK1Zvl8juyCFs_!!2207931153257.jpg,5,10.50,0.7,9,9,28,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
波波把手冰霸杯-03,"其他家 保温咖啡杯,保温杯,冰霸杯 1100ml Unspecified",波波把手冰霸杯,其他家,Home & Kitchen,"保温咖啡杯,保温杯,冰霸杯",桃桃奶芙1100ml覆陶316L内胆,Unspecified,1100,316L不锈钢+陶瓷覆层内胆,false,中国大陆,10.50,IMG-05-03-1.jpg;IMG-05-03-2.jpg;IMG-05-03-3.jpg,https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01nMP1Ee1Zvl8k3v1xC_!!2207931153257.jpg;https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01coKcxo1Zvl8jmz1bz_!!2207931153257.jpg;https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01YptIwK1Zvl8juyCFs_!!2207931153257.jpg,5,10.50,0.7,9,9,28,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
88543-01,百诣 接受批量定制  Unspecified,88543,百诣,Home & Kitchen,接受批量定制,带茶隔,Unspecified,,304不锈钢+316不锈钢+陶瓷覆膜,false,,7.50,IMG-06-01-1.jpg;IMG-06-01-2.jpg,https://img.alicdn.com/imgextra/i4/2201204201609/O1CN01GFmothIBAdE3Cu6K_!!2201204201609.jpg;https://img.alicdn.com/imgextra/i1/2201204201609/O1CN01P4S1v9WEt3I3Ctuo_!!2201204201609.jpg,6,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
青年-01,软把 Cup  Unspecified,青年,软把,Home & Kitchen,Cup,帆布,Unspecified,,Unspecified,false,,7.50,IMG-07-01-1.jpg;IMG-07-01-2.jpg;IMG-07-01-3.jpg,https://img.alicdn.com/imgextra/i2/3524631220/O1CN01Z1HBha1KsoICcqszg_!!3524631220.jpg;https://img.alicdn.com/imgextra/i2/3524631220/O1CN01dlT28p1KsoICCd2Ii_!!3524631220.jpg;https://img.alicdn.com/imgextra/i2/3524631220/O1CN01sHVebE1KsoICcslNJ_!!3524631220.jpg,7,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
全新-01,流行款式名称 Cup  Unspecified,全新,流行款式名称,Home & Kitchen,Cup,纯色,Unspecified,,Unspecified,false,,7.50,IMG-08-01-1.jpg;IMG-08-01-2.jpg,https://img.alicdn.com/imgextra/i1/789448830/O1CN01ZRvFwc2F6COV0ah3U_!!789448830.jpg;https://img.alicdn.com/imgextra/i2/789448830/O1CN01QUFbBT2F6CQDBTp2o_!!789448830.jpg,8,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
全新-01,"手提,单肩 Cup  Unspecified",全新,"手提,单肩",Home & Kitchen,Cup,卡通动漫,Unspecified,,Unspecified,false,,7.50,IMG-09-01-1.jpg;IMG-09-01-2.jpg,https://img.alicdn.com/imgextra/i4/14503298/O1CN01Dzb8Ig1aEWvdJl28c_!!14503298.jpg;https://img.alicdn.com/imgextra/i1/14503298/O1CN01tE2Srt1aEXLwxrgcJ_!!14503298.jpg,9,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ROW-10-01,形状 Cup  Unspecified,ROW-10,形状,Home & Kitchen,Cup,纯色,Unspecified,,Unspecified,false,,7.50,IMG-10-01-1.jpg;IMG-10-01-2.jpg,https://img.alicdn.com/imgextra/i3/2822820027/O1CN01TzIGYo1C4PXPwJvZO_!!2822820027.jpg;https://img.alicdn.com/imgextra/i4/2822820027/O1CN01lY4vFZ1C4PXNpIn3Y_!!2822820027.jpg,10,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
全新-01,车缝线 线 Cup  Unspecified,全新,车缝线 线,Home & Kitchen,Cup,动物,Unspecified,,Unspecified,false,,7.50,IMG-11-01-1.jpg,https://img.alicdn.com/imgextra/i4/2181779871/O1CN01FZrSl22Mmydq4vlPZ_!!2181779871.jpg,11,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
拉伯塔-01,按键开关 Cup  Unspecified,拉伯塔,按键开关,Home & Kitchen,Cup,(no variant listed),Unspecified,,按钮开关,false,,7.50,,,12,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
自主实拍图-01,田园风 支持定制  Unspecified,自主实拍图,田园风,Home & Kitchen,支持定制,AS,Unspecified,,tritan,false,中国大陆,7.50,IMG-13-01-1.jpg,https://img.alicdn.com/imgextra/i2/466095019/O1CN016i2MlV1mwkcKEkPCK_!!466095019.jpg,13,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
自主实拍图-02,田园风 支持定制  Unspecified,自主实拍图,田园风,Home & Kitchen,支持定制,PC,Unspecified,,tritan,false,中国大陆,7.50,IMG-13-02-1.jpg,https://img.alicdn.com/imgextra/i2/466095019/O1CN016i2MlV1mwkcKEkPCK_!!466095019.jpg,13,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
自主实拍图-01,富光 支持定制  Unspecified,自主实拍图,富光,Home & Kitchen,支持定制,pp,Unspecified,,PC,false,中国大陆,7.50,IMG-14-01-1.jpg,https://img.alicdn.com/imgextra/i1/2935021339/O1CN01kncOWo1LlJFYVD5v8_!!2935021339.jpg,14,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
12小时-01,MINISO/名创优品 纯色  Unspecified,12小时,MINISO/名创优品,Home & Kitchen,纯色,带茶隔,Unspecified,,304不锈钢+316不锈钢内胆,false,,7.50,IMG-15-01-1.jpg,https://img.alicdn.com/imgextra/i4/2215966016814/O1CN01CDQXLY20Crm9hYrNo_!!2215966016814.jpg,15,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
WH-LHC3260组合-01,Lock＆Lock/乐扣乐扣 保温咖啡杯 保温杯  Unspecified,WH-LHC3260组合,Lock＆Lock/乐扣乐扣,Home & Kitchen,保温咖啡杯 保温杯,不带茶隔,Unspecified,,陶瓷覆层,false,,7.50,IMG-16-01-1.jpg,https://img.alicdn.com/imgextra/i4/2455161143/O1CN01bec97r1KJXjOvATgJ_!!2455161143.jpg,16,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
自主实拍图-01,富光 小清新  Unspecified,自主实拍图,富光,Home & Kitchen,小清新,带茶隔,Unspecified,,tritan,false,,7.50,IMG-17-01-1.jpg,https://img.alicdn.com/imgextra/i2/3236545867/O1CN01AP4i5w1tD8g0h1Bs8_!!3236545867.jpg,17,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
